Jahr;Private Haushalte;Gewerbe + Sonstiges;Industrie;Verkehr;Gesamt
1990;817146;846374;293940;660749;2618209
1995;774040;801726;278434;649867;2504066
2000;773328;800989;278178;638984;2491479
2005;806451;835296;290092;628102;2559941
2010;684161;735890;185497;622685;2228233
2015;636894;629441;217637;596135;2080108
2016;607278;632025;214251;598973;2052527
2017;578794;623804;215605;593668;2011870
2018;588420;592654;232469;588926;2002468
2019;533849;549177;225833;582527;1891386
2020;521173;512646;204680;571041;1809541
2021;510254;549104;191003;565862;1816224